Judul Produk,Link Gambar,Harga,Harga Coret,Deskripsi,Status,Berat,Label
SQL untuk Ilmu Data,https://lh3.googleusercontent.com/d/1w5Qzk9J-Xzyxne6theY9C09zVXjf1MU1,Rp3.500,Rp15.000,"SQL untuk Ilmu Data adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Sukses Berbicara dengan Siapa Saja - eBookWave,https://lh3.googleusercontent.com/d/1lfGox1C4BoLXBmAveiYGF_WwAhNzK3r1,Rp3.500,Rp15.000,"Sukses Berbicara dengan Siapa Saja - eBookWave adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Why Men Lie: Memahami Tabiat Pria,https://lh3.googleusercontent.com/d/1YfcViGCvyYw13dqWz0YfyaazP1-cBOG1,Rp3.500,Rp15.000,"Why Men Lie: Memahami Tabiat Pria adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Matahari – Tere Liye,https://lh3.googleusercontent.com/d/1VSAGAeN1hctfb-yOnY2NAd69zhDo7T81,Rp3.500,Rp15.000,"Matahari – Tere Liye adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Filosofi Teras - Henry Manampiring,https://lh3.googleusercontent.com/d/bc1qg4zndrsatg0j6xzdc5czs9l3vntz5gwwsrp6py,Rp3.500,Rp15.000,"Filosofi Teras - Henry Manampiring adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Doa-doa Perlindungan,https://lh3.googleusercontent.com/d/1EjYv7LpMrrX_UWB3COzcXo4-zbqmpnNM,Rp3.500,Rp15.000,"Doa-doa Perlindungan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Teori Ekonomi Mikro - Isward,https://lh3.googleusercontent.com/d/1IbcmXnwa1dicuzGAMo_lKPzKFhVuFGCz,Rp3.500,Rp15.000,"Teori Ekonomi Mikro - Isward adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
A Man Called Ove,https://lh3.googleusercontent.com/d/1gG94mfwaiGle1maECWVfPd9EP_aB5zGp,Rp3.500,Rp15.000,"A Man Called Ove adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Filsafat Kritis Immanuel Kant: Mempertimbangkan Kritik - Karl Ameriks,https://lh3.googleusercontent.com/d/18oHLK3vzhKmWIS1U9KWYsR-gJngWBrhZ,Rp3.500,Rp15.000,"Filsafat Kritis Immanuel Kant: Mempertimbangkan Kritik - Karl Ameriks adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Personal Branding,https://lh3.googleusercontent.com/d/1Q84GZpb945oSmJI2JTWKSclWZsjrVKZh,Rp3.500,Rp15.000,"Personal Branding adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Parenting Anak Usia Dini,https://lh3.googleusercontent.com/d/1r8ICqVz7YW28x8VRNeFwSw65DTfF2tvy,Rp3.500,Rp15.000,"Parenting Anak Usia Dini adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Anak Muda Miliarder Saham,https://lh3.googleusercontent.com/d/1oKk7IrwvvE26_QiLOwVXRr2P4pax1_vE,Rp3.500,Rp15.000,"Anak Muda Miliarder Saham adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Doa-doa Seputar Pernikahan,https://lh3.googleusercontent.com/d/1sr28zJfbnCAe-rLQNNflAgSNzFF14iNV,Rp3.500,Rp15.000,"Doa-doa Seputar Pernikahan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Hawking on the Big Bang and Black Holes,https://lh3.googleusercontent.com/d/1DOPMQPVA8UJixJQXIJ-7WulGOGsrOGra,Rp3.500,Rp15.000,"Hawking on the Big Bang and Black Holes adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Modul Parenting (New),https://lh3.googleusercontent.com/d/bc1qg4zndrsatg0j6xzdc5czs9l3vntz5gwwsrp6py,Rp3.500,Rp15.000,"Modul Parenting (New) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Supernova: Gelombang – Dee Lestari,https://lh3.googleusercontent.com/d/1eqvpTU83yIMSFtM2zbf9oVYjikGRJvoI,Rp3.500,Rp15.000,"Supernova: Gelombang – Dee Lestari adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
ABC Anarkisme,https://lh3.googleusercontent.com/d/18b_vuu0CLoCIb-3gzUWJFZGzo5eCtGiz,Rp3.500,Rp15.000,"ABC Anarkisme adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cara Rasulullah SAW Mendidik Anak - Ayu Agus R.I. (agoylibrary.blogspot),https://lh3.googleusercontent.com/d/1NYKggcCYTS9VCLur1uJf2-GKMKO65Tte,Rp3.500,Rp15.000,"Cara Rasulullah SAW Mendidik Anak - Ayu Agus R.I. (agoylibrary.blogspot) adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Krisis Kebebasan - Albert Camus,https://lh3.googleusercontent.com/d/1yFVy6bOvDQtgv9aaRdcQ42sBZb0GQUms,Rp3.500,Rp15.000,"Krisis Kebebasan - Albert Camus adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Islam dan Anarkisme,https://lh3.googleusercontent.com/d/13rl3PmTjmOq5LVZuC_HJxCGgCwdcBEKg,Rp3.500,Rp15.000,"Islam dan Anarkisme adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cara Cepat Membaca Wajah,https://lh3.googleusercontent.com/d/1RLbULdFwsXPe7eXKxPnI0o6IciN8qpbB,Rp3.500,Rp15.000,"Cara Cepat Membaca Wajah adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Mereka Bilang di Sini Tidak Ada Tuhan,https://lh3.googleusercontent.com/d/196WoXwiNInb7NlEBPZkR2BrdxQ52KpQZ,Rp3.500,Rp15.000,"Mereka Bilang di Sini Tidak Ada Tuhan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Alam Pikiran Yunani,https://lh3.googleusercontent.com/d/1qdjf04uAbYnHyGBaP13a2G7jyEbv-4t4,Rp3.500,Rp15.000,"Alam Pikiran Yunani adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
A Little Hero – Fyodor Dostoyevsky,https://lh3.googleusercontent.com/d/1GAgKfbFRvTff3nN1_lBMGBO8NB5DVz9I,Rp3.500,Rp15.000,"A Little Hero – Fyodor Dostoyevsky adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Ananda's Neo Self Leadership: Seni Memimpin Diri bagi Orang Modern,https://lh3.googleusercontent.com/d/1RpD58FvZz2qgMpZmDi4x7f-Yivv-VBd0,Rp3.500,Rp15.000,"Ananda's Neo Self Leadership: Seni Memimpin Diri bagi Orang Modern adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Terjemah tentang Pernikahan,https://lh3.googleusercontent.com/d/1fquJbP0VF1kD8uRkVWd8CbBwgOjXwWwG,Rp3.500,Rp15.000,"Terjemah tentang Pernikahan adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Kitab Firasat: Ilmu Membaca Sifat dan Karakter Orang dari Bentuk,https://lh3.googleusercontent.com/d/1HriceRw5ULut5Tau8_KmCSEyslvdT4jj,Rp3.500,Rp15.000,"Kitab Firasat: Ilmu Membaca Sifat dan Karakter Orang dari Bentuk adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Sepuluh Hari yang Mengguncang Dunia – John Reed,https://lh3.googleusercontent.com/d/1SihQpIEZsgwNqFnJKM-d3WfzgxBEvdK5,Rp3.500,Rp15.000,"Sepuluh Hari yang Mengguncang Dunia – John Reed adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Introver: Sebuah Novel Penggugah Jiwa – M.F. Hazim,https://lh3.googleusercontent.com/d/1ab36eiwZ7ucoFOCwuL8K3QnaT4TK4fM7,Rp3.500,Rp15.000,"Introver: Sebuah Novel Penggugah Jiwa – M.F. Hazim adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Sapiens - Yuval Noah Harari,https://lh3.googleusercontent.com/d/1YKqnBfduYf0mvyMe3SzDwCHeGWBro3GZ,Rp3.500,Rp15.000,"Sapiens - Yuval Noah Harari adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
